cluster_id,centroid_lat,centroid_lon,n_points,aqi_mean,aqi_max,pm25_mean,pm25_max,no2_mean,no2_max,o3_mean,o3_max,co_mean,co_max
10,18.07892,-77.0659,5,82.8,106,81.8,106,2.6,3,22.8,36,1.0,1
50,8.776660000000001,38.75666,5,80.2,102,80.2,102,0.0,0,24.6,26,1.0,1
9,40.5915625,69.820475,8,78.875,109,76.0,109,1.875,12,45.375,64,1.0,1
5,16.285346153846152,80.15337692307692,13,75.84615384615384,112,75.84615384615384,112,0.3076923076923077,2,35.46153846153846,49,1.0,1
0,18.914414999999998,-70.906255,20,73.75,114,73.75,114,2.9,10,20.7,39,1.0,1
18,32.184036363636366,34.99670909090909,22,71.5,93,70.86363636363636,93,3.6363636363636362,7,47.09090909090909,62,1.0,1
11,39.6696,2.9295,5,65.2,101,57.8,101,0.4,1,45.8,49,1.0,1
19,10.5111125,-61.4166625,8,63.5,93,63.5,93,3.875,7,23.0,40,1.0,1
16,28.27325,-105.56731666666667,6,63.5,94,59.0,94,0.3333333333333333,1,30.333333333333332,42,1.0,1
3,18.3452125,-66.2854375,8,62.875,113,62.875,113,1.25,4,15.75,25,1.0,1
31,19.2249375,-96.880075,8,62.0,82,62.0,82,1.5,5,24.25,32,1.0,1
12,-7.40195,110.32993333333333,24,61.833333333333336,99,61.833333333333336,99,0.375,3,33.208333333333336,46,1.0,1
15,6.915744999999999,100.292175,20,61.3,96,61.3,96,0.15,2,29.75,38,1.0,1
60,41.75444,60.42134,5,61.2,69,61.2,69,0.6,3,40.6,44,1.0,1
4,21.886301851851854,-79.54232592592592,54,61.111111111111114,112,60.53703703703704,112,1.6111111111111112,8,23.75925925925926,43,1.0,1
37,14.075629166666667,100.75797916666666,24,58.625,73,58.625,73,0.8333333333333334,2,25.041666666666668,30,1.0,1
27,38.0841375,41.30614375,16,58.1875,88,54.875,88,0.625,3,38.0,56,1.0,1
39,35.2687,-106.41954285714284,7,58.142857142857146,73,58.142857142857146,73,5.285714285714286,10,23.0,30,1.0,1
59,-20.219866666666665,57.56995,6,57.666666666666664,61,56.833333333333336,61,0.16666666666666666,1,32.333333333333336,59,1.0,1
22,6.808336363636363,80.83993636363635,11,57.54545454545455,89,57.54545454545455,89,1.4545454545454546,4,23.0,40,1.0,1
17,12.206836842105263,77.28458210526317,95,57.21052631578947,97,56.94736842105263,97,1.2210526315789474,6,28.08421052631579,59,1.0,1
21,8.539619672131147,-0.6407967213114754,61,57.0,89,57.0,89,0.2459016393442623,3,22.34426229508197,39,1.0,1
47,3.4840400000000002,31.60345,10,56.7,74,56.7,74,0.0,0,17.7,22,1.0,1
52,9.216633333333332,3.1860999999999997,3,56.666666666666664,66,56.666666666666664,66,0.0,0,30.666666666666668,37,1.0,1
51,-15.260783333333334,35.208416666666665,6,56.5,64,56.5,64,0.0,0,21.0,23,1.0,1
35,0.38612857142857143,30.35574285714286,7,56.285714285714285,78,56.285714285714285,78,0.2857142857142857,2,21.0,48,1.0,1
54,24.80922,121.42382,5,56.0,63,56.0,63,2.4,8,43.6,49,1.0,1
20,39.82346896551724,-104.7906275862069,29,55.37931034482759,91,54.58620689655172,91,4.827586206896552,11,27.862068965517242,49,1.0,1
32,33.03902333333333,-111.43636666666666,30,54.766666666666666,81,54.766666666666666,81,5.866666666666666,12,19.366666666666667,31,1.0,1
30,34.17428888888889,-102.20637777777777,18,54.72222222222222,82,54.72222222222222,82,1.5,5,27.77777777777778,34,1.0,1
1,12.397925714285716,122.76054771428572,350,54.23428571428571,113,53.69714285714286,113,1.1342857142857143,8,22.062857142857144,49,1.0,1
33,25.31616,-100.15526,5,54.0,80,54.0,80,2.4,6,16.0,24,1.0,1
80,25.370240000000003,85.6928,5,53.8,65,50.2,65,0.6,2,30.4,39,1.0,1
34,40.16862727272727,8.923331818181818,22,53.72727272727273,79,45.13636363636363,79,1.6818181818181819,5,41.68181818181818,63,1.0,1
28,10.38763076923077,-67.07241538461538,13,53.69230769230769,86,53.69230769230769,86,2.6153846153846154,6,25.76923076923077,43,1.0,1
64,15.28662,104.93238000000001,5,52.2,58,52.2,58,0.0,0,26.4,29,1.0,1
36,9.513490909090908,-69.91901818181817,11,52.18181818181818,76,52.18181818181818,76,1.1818181818181819,3,16.454545454545453,21,1.0,1
79,51.3119,58.344680000000004,5,51.6,114,39.4,114,0.0,0,35.4,41,1.0,1
42,-12.38539,27.864729999999998,10,51.3,77,51.3,77,0.2,1,23.3,30,1.0,1
13,14.294963758389262,-87.83914161073825,149,51.04697986577181,97,50.97986577181208,97,1.5906040268456376,11,18.610738255033556,30,1.0,1
8,38.70318079838302,-82.73842930773118,1979,50.400707427993936,110,48.47498736735725,110,4.1955533097524,12,33.11167256189995,65,1.0,1
45,20.955589999999997,-101.93262333333334,60,50.266666666666666,94,49.88333333333333,94,2.4,9,17.65,36,1.0,1
57,-13.227783333333335,33.66943333333334,6,49.833333333333336,62,49.833333333333336,62,0.0,0,19.5,21,1.0,1
71,6.297528571428572,-5.074885714285714,7,49.714285714285715,73,49.714285714285715,73,0.0,0,17.714285714285715,25,1.0,1
53,43.4376,-116.13142500000001,8,49.0,63,47.25,63,3.875,11,30.125,46,1.0,1
2,48.543585154061624,15.237548717948718,4641,48.76578323637147,113,44.67593191122603,113,1.856711915535445,12,35.621417797888384,65,1.0,1
41,-24.67913333333333,25.76591666666667,6,48.5,71,48.5,71,0.5,2,18.5,31,1.0,1
62,-25.63995,-57.1917,6,48.333333333333336,64,48.333333333333336,64,0.8333333333333334,2,18.5,31,1.0,1
7,36.61713880597015,-120.23845422885572,201,47.93532338308458,110,46.99004975124378,110,5.1940298507462686,12,28.82089552238806,52,1.0,1
55,-26.432599999999997,29.725416666666664,6,47.666666666666664,63,45.5,63,4.0,10,28.333333333333332,40,1.0,1
6,3.9327664739884396,-76.20987687861272,173,47.225433526011564,110,46.92485549132948,110,1.5780346820809248,10,15.739884393063583,51,1.0,1
56,40.81106875,-111.928709375,32,46.1875,63,45.71875,63,5.375,12,29.3125,52,1.0,1
40,-11.9271,-38.23116,10,45.9,71,45.9,71,3.2,7,9.6,16,1.0,1
38,36.196061636828645,137.46944373401533,391,45.65728900255755,73,34.63938618925831,73,1.856777493606138,12,41.109974424552426,65,1.0,1
26,-33.54319642857143,-58.83000357142857,28,45.535714285714285,88,44.5,88,2.1785714285714284,8,17.928571428571427,30,1.0,1
29,-35.593032,-71.97032,25,45.52,83,45.32,83,2.92,8,18.2,37,1.0,1
48,51.912235714285714,-113.71967142857143,14,45.07142857142857,67,35.07142857142857,67,2.9285714285714284,11,26.785714285714285,41,1.0,1
78,-7.251142857142857,-38.41704285714286,7,44.714285714285715,62,41.714285714285715,62,1.4285714285714286,3,18.571428571428573,56,1.0,1
46,-3.3509166666666665,30.141525,12,43.916666666666664,68,43.916666666666664,68,0.0,0,24.25,28,1.0,1
49,21.364766666666668,95.93363333333333,6,43.666666666666664,66,43.333333333333336,66,1.0,3,18.333333333333332,31,1.0,1
69,-4.661851851851852,-42.06765555555556,27,43.55555555555556,71,43.55555555555556,71,1.7407407407407407,4,8.333333333333334,27,1.0,1
58,44.42305263157895,131.28766842105264,19,43.421052631578945,62,39.31578947368421,62,0.15789473684210525,2,35.94736842105263,45,1.0,1
14,46.567243,-122.039879,100,43.15,97,40.48,97,4.74,12,28.43,48,1.0,1
23,-22.053306766917295,-47.88004398496241,266,43.11654135338346,88,43.0,88,1.5451127819548873,9,13.789473684210526,46,1.0,1
63,35.86,-115.022975,8,43.0,59,41.875,59,6.25,11,25.75,43,1.0,1
61,-1.063,-48.047066666666666,6,42.5,59,42.5,59,0.6666666666666666,2,12.833333333333334,16,1.0,1
73,-7.7387500000000005,-35.38486666666667,18,41.611111111111114,53,41.611111111111114,53,2.2777777777777777,5,15.722222222222221,33,1.0,1
68,45.617488888888886,-64.159,9,41.55555555555556,57,36.55555555555556,57,1.1111111111111112,3,34.888888888888886,50,1.0,1
44,-2.57789,37.47434,10,41.5,71,41.5,71,0.1,1,16.9,23,1.0,1
43,8.893452173913044,-11.871882608695651,23,41.43478260869565,90,41.21739130434783,90,0.5217391304347826,10,17.91304347826087,37,1.0,1
82,-8.51584,115.59428,5,41.4,51,41.4,51,0.0,0,26.0,30,1.0,1
66,52.90334,103.13833,10,40.7,57,34.1,57,1.2,6,32.3,49,1.0,1
85,-31.695825,-64.104175,4,40.5,60,36.75,60,3.75,11,21.25,34,1.0,1
72,-29.6151,-51.23783333333333,18,40.388888888888886,55,40.388888888888886,55,2.1666666666666665,4,14.055555555555555,18,1.0,1
70,54.48442413793103,85.24071034482758,29,40.241379310344826,56,34.48275862068966,56,1.4482758620689655,12,33.689655172413794,44,1.0,1
65,53.49413333333333,91.03731666666665,6,39.166666666666664,57,35.333333333333336,57,1.6666666666666667,7,31.666666666666668,43,1.0,1
76,50.204899999999995,-119.59384,5,38.6,58,33.4,58,1.8,3,34.2,46,1.0,1
25,-28.1628,-58.7959,8,38.375,88,37.0,88,2.25,5,14.875,30,1.0,1
67,-20.336442857142856,47.26956428571429,14,37.642857142857146,57,37.285714285714285,57,0.14285714285714285,2,19.142857142857142,25,1.0,1
77,56.00452727272727,92.59168181818183,11,37.18181818181818,50,30.636363636363637,50,0.8181818181818182,3,33.18181818181818,43,1.0,1
74,-7.523416666666667,-78.87754166666666,12,37.083333333333336,50,37.083333333333336,50,1.0,2,12.5,24,1.0,1
83,50.96406,127.85834,5,35.4,40,29.2,40,0.6,3,32.0,36,1.0,1
75,-14.971825,-39.7647625,8,35.375,50,35.375,50,1.875,3,6.875,9,1.0,1
81,-6.2672799999999995,-76.69936,5,33.4,39,33.4,39,0.0,0,4.4,6,1.0,1
24,-21.47281818181818,-55.700700000000005,11,33.27272727272727,88,33.09090909090909,88,0.6363636363636364,4,13.090909090909092,23,1.0,1
84,68.39268571428572,32.565999999999995,14,29.857142857142858,33,12.857142857142858,24,0.0,0,29.857142857142858,33,1.0,1
86,-41.3667,-73.05415,4,26.5,36,24.0,36,1.75,3,20.0,23,1.0,1
